title,genres,keywords,spoken_languages,overview,production_countries
Daybreakers,"Fantasy, Horror, Action, Thriller, Science Fiction","female nudity, sunrise, waitress, experiment, rain, sunlight, vampire, dystopia, beautiful woman, slow motion scene, undead, decapitation, scientist, epidemic, night creatures",English,"In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a","United States of America, Australia"
She's Out of My League,"Comedy, Romance","confidence, romantic comedy, dating, insecurity, airport security, unlikely lovers, twenty something, duringcreditsstinger",English,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything",United States of America
Monte Carlo,"Adventure, Comedy, Romance","monte carlo, mistaken identity, look-alike, young woman, texan, american abroad",English,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,"Hungary, United States of America"
Stay Alive,"Horror, Thriller","video game, hacker, virtual reality, virtual fight, baroness",English,"After the mysterious, brutal death of an old friend, a group of teenagers find themselves in possession of ""Stay Alive,"" an ultra-realistic 3-D videogame based on the spine-chilling true story of a 17",United States of America
Quigley Down Under,"Romance, Action, Adventure, Western, Drama","australian, chase",English,American Matt Quigley answers Australian land baron Elliott Marston's ad for a sharpshooter to kill the dingoes on his property. But when Quigley finds out that Marston's real target is the aborigines,"Australia, United States of America"
Alpha and Omega,"Family, Animation","wolf, arranged marriage, forbidden love, road trip, park, park ranger, howling, social status",English,Two mismatched wolves embark on a cross-country quest to get back home and restore peace in their pack after being relocated thousands of miles away by well-meaning park rangers. Quick-witted Humphrey,"United States of America, India"
The Covenant,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller","magic, male friendship, college, supernatural powers, teenager",English,Four young men who belong to a supernatural legacy are forced to battle a fifth power long thought to have died out. Another great force they must contend with is the jealousy and suspicion that threa,United States of America
Stick It,"Comedy, Drama","gymnastics, trainer, puberty, training, sport, teenager, woman director",English,"Haley is a naturally gifted athlete but, with her social behavior, the teen seems intent on squandering her abilities. After a final brush with the law, a judge sentences her to an elite gymnastics ac","Germany, United States of America"
Shorts,"Comedy, Family",,English,"A young boy's discovery of a colorful, wish-granting rock causes chaos in the suburban town of Black Falls when jealous kids and scheming adults alike set out to get their hands on it.","United Arab Emirates, United States of America"
To Die For,"Fantasy, Drama, Comedy, Thriller","adultery, winter, obsession, television, new hampshire, narcissistic personality disorder",English,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidma",United States of America
Nerve,"Mystery, Adventure, Crime","based on novel, technology, internet, hacking, teenager, new york city, game, adaptation, dare, cellphone video, based on young adult novel, smartphone, taking a risk",English,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare i",United States of America
Appaloosa,"Drama, Western, Crime","small town, rancher","English, Español",Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.,United States of America
Vampires,"Action, Drama, Fantasy, Horror, Thriller","based on novel, new mexico, party, vampire hunter, revenge, priest, church, skull, team, crucifix, cross, relic, vampire slayer, turning into a vampire, drinking blood","English, Latin",The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,United States of America
Psycho,"Drama, Horror, Thriller","hotel, clerk, arizona, shower, rain, motel, money, secretary, corpse, murderer, theft, private detective, proto-slasher",English,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his ho",United States of America
My Best Friend's Girl,"Romance, Comedy","date, sex, bar, test, friendship, insult, stripper, blonde, liar, wedding, lap dance, duringcreditsstinger",English,"When Dustin's girlfriend, Alexis, breaks up with him, he employs his best buddy, Tank, to take her out on the worst rebound date imaginable in the hopes that it will send her running back into his arm",United States of America
Endless Love,"Drama, Romance",teenage romance,English,A privileged girl and a charismatic boy's instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,United States of America
Georgia Rule,"Comedy, Drama, Romance","grandmother granddaughter relationship, promiscuity, mother daughter relationship, summer, teenager, rural, veterinary clinic, rebellious teenager","English, Français, Deutsch","Georgia Rule follows a rebellious, uncontrollable teenager who is hauled off by her dysfunctional mother to spend the summer with her grandmother. Her journey will lead all three women to revelations ",United States of America
