title,genres,keywords,original_language,production_countries,spoken_languages
Halloween,"Horror, Thriller","female nudity, nudity, mask, babysitter, halloween, police, psychopathic killer, independent film, stalking, serial killer, marijuana, masked killer, blood, pot smoking, slasher, murderer, throat slitting, maniac, violence, killing spree, family, cult film, evil, psychotic, smoking pot, institution, escaped killer",en,United States of America,English
Good Boy!,"Comedy, Family, Science Fiction",,en,United States of America,German
The Best Man Holiday,Comedy,best man,en,United States of America,English
Smokin' Aces,"Action, Comedy, Crime, Thriller","neo-nazi, gun, sniper, fbi, hitman, bodyguard, to shoot dead, police, dark comedy, shootout, gangster, drug, female corpse",en,"France, United Kingdom, United States of America",English
Saw: The Final Chapter,"Horror, Crime","survivor, violence, self help guru, tricycle, prosthetic arm, pig mask, 3d",en,"Canada, United States of America",English
40 Days and 40 Nights,"Comedy, Romance","sex addiction, laundromat",en,"United States of America, France, United Kingdom",English
A Night at the Roxbury,Comedy,"night life, nightclub, flower, flower shop, make a match, clubbing",en,United States of America,English
Beastly,"Drama, Fantasy, Romance","based on novel, love, beautiful woman, curse, teenager, popularity, blind tutor, teenage romance, modern fairy tale, based on young adult novel",en,United States of America,English
The Hills Have Eyes,"Horror, Thriller","ambush, new mexico, van, family holiday, axe in the head",en,"France, United States of America",English
Dickie Roberts: Former Child Star,Comedy,"loser, child prodigy",en,United States of America,English
"McFarland, USA",Drama,"california, small town, coach, championship, woman director, track and field",en,United States of America,"English, Italiano"
Lottery Ticket,Comedy,,en,United States of America,English
ATL,Drama,,en,United States of America,English
Pitch Perfect,"Comedy, Music, Romance","competition, roommate, college, female friendship, music, hazing, male female relationship, audition, group of friends, dorm room, bickering, dj, singing competition, film score, female musician, singing contest, young adult, acapella",en,United States of America,English
Summer Catch,"Drama, Comedy, Romance","beach, baseball, sport, bikini, party, love, romance, pool, summer, flashback",en,United States of America,English
A Simple Plan,"Drama, Crime, Thriller","brother brother relationship, money delivery, airplane, greed, friendship, suspense, financial transactions",en,United States of America,English
They,"Horror, Thriller","suicide, asylum, nightmare, darkness, supernatural, suspense",en,United States of America,English
Larry the Cable Guy: Health Inspector,Comedy,"health inspector, food intoxication",en,United States of America,English
The Adventures of Elmo in Grouchland,Family,,en,United States of America,English
Brooklyn's Finest,"Crime, Drama, Thriller","male nudity, female nudity, tattoo, gambling, corruption, father son relationship, prostitute, robbery, detective, police brutality, wife husband relationship, card game, desperation, undercover, kidnapping, drug dealer, retirement, death of a friend, asthma, police, fellatio, blood splatter, revenge, deception, murder, betrayal, priest, breast, bag of money, shootout, blood on shirt, shot in the back, undercover cop, blood, suicidal, f word, shot to death, punched in the face, redemption, police officer killed, hospital, dirty cop, police corruption, pistol, new york city, church, violence, strangulation, foot chase, police detective, father daughter relationship, police station, held at gunpoint, catholic, guilt, brooklyn new york city, narcotics cop, nypd, missing person, racial slur, swat team, ensemble cast, pregnant wife, confessional, drive by shooting, shot in the shoulder, gun in mouth, police raid, reference to god, razor blade, shot through a door, stealing money, police officer shot, expecting twins, lens flare, flashback, money problems, family man, neo-noir, bmw, apathy, confession booth, thoughts of retirement, hail mary, working in the nude, drug raid, ironing money, bedtime prayer, briefing, shot point blank, reference to gregory hines, police badge, sex slave, trail of blood, gold watch, man slaps a woman, mold",en,United States of America,English
55 Days at Peking,"Action, Drama, History","siege, epic, beijing",en,United States of America,English
Evil Dead,Horror,"remake, demon, necronomicon, duringcreditsstinger",en,United States of America,English
My Life in Ruins,"Comedy, Romance","beach, greece, tour bus, tour guide, viagra, hospital",en,"Greece, United States of America",English
American Dreamz,"Comedy, Drama, Family","usa president, moderator, musical, music, castingshow, image campaign, sleeper agent",en,United States of America,"English, Spanish"
Superman IV: The Quest for Peace,"Action, Adventure, Science Fiction","saving the world, dc comics, mountains, nuclear missile, u.s. army, alter ego, sequel, superhero, laboratory, convertible, catholic school, newspaper editor, nuclear weapons, disarmament, volcanic eruption, great wall of china, super powers, superhuman strength",en,"United Kingdom, United States of America","English, French, Italiano"
How She Move,Drama,"black people, loss of sister, dance, stepping",en,"Canada, France, United States of America",English
Running Scared,"Action, Crime, Drama, Thriller","ice hockey, racism, pedophile, throat slitting, shot in the stomach, head blown off, police investigation, pistol whip, shot in the shoulder, child uses gun, ankle holster, breaking finger",en,"Germany, United States of America",English
Bobby Jones: Stroke of Genius,Drama,sport,en,United States of America,English
Shanghai Surprise,Adventure,,en,United Kingdom,English
The Illusionist,"Fantasy, Drama, Thriller, Romance","magic, princess, love, rivalry, vienna austria, crown prince, duchess, supernatural power, childhood sweetheart, vienna",en,"Czech Republic, United States of America",English
Roar,"Adventure, Thriller","africa, lion, elephant, vegetarian, leopard, tiger, zebra, wildlife, independent film, jungle, blood, exploitation film, animal attack, wildlife reserve, wildlife conservation",en,United States of America,English
Veronica Guerin,"Drama, Crime, Thriller","journalism, police, drug scene, murder, drug lord",en,"Ireland, United Kingdom, United States of America",English
Escobar: Paradise Lost,"Thriller, Romance","surfer, murder, murderer, columbia, telephone conversation",en,"Belgium, France, Spain","Spanish, English"
Southland Tales,"Action, Adventure, Comedy, Drama, Science Fiction, Thriller","suicide, brother brother relationship, spy, prophecy, middle east, screenwriter, terrorist, wife husband relationship, nevada, amnesia, allegory, mass murder, kidnapping, blackmail, riot, evacuation, afghanistan, time travel, undercover agent, marxism, politics, politician, smuggling, twin brother, movie in movie, murder, surrealism, balloon, interracial relationship, anti conformity, end of the world, conspiracy, metaphysics, memory, search, dirty cop, apocalypse, los angeles, terrorism, paradox, cult film, doomsday, near future, alternate reality, split personality, big corporation, mother son relationship, no opening credits, north korea, doppelganger, government corruption, southern california, alternate timeline, karma, environmental issue, world war iii, mysterious past, absurdism, fourth dimension, santa monica california",en,"Germany, United States of America, France",English
Dragon Hunters,"Animation, Family","destroy, future, world supremacy, best friend, dragon, doomsday",fr,France,French
Damnation Alley,"Action, Adventure, Science Fiction","based on novel, future, post-apocalyptic, war, cockroach, motorcycle, scorpion, post nuclear, battle for survival",en,United States of America,"Spanish, English"
The Apparition,"Horror, Thriller","experiment, supernatural, paranormal, haunting, disappearance, fear, ghost",en,United States of America,English
My Girl,"Comedy, Drama, Family","neighbor, child killed by animal, writing class, makeup artist, bee sting, camper, cosmetologist, tree climbing, death in childbirth, tuba, motor home, bee attack",en,United States of America,"Cesky, English"
Fur: An Imaginary Portrait of Diane Arbus,"Drama, Mystery, Romance","photographer, biography, hair, werewolf, hypertrichosis, freak",en,United States of America,English
Wall Street,"Crime, Drama","power, fraud, broker, wall street, finances, lawyer, union, millionaire, stock broker",en,United States of America,English
Sense and Sensibility,"Drama, Romance","bowling, based on novel, servant, country life, jane austen, inheritance, military officer, period drama, rainstorm, horse and carriage, decorum",en,"United Kingdom, United States of America",English
Becoming Jane,"Drama, Romance","england, judge, irland, new love, empowerment, country life, future, letter, law, lovers, creativity, sister, author, family",en,"United Kingdom, United States of America","English, Turkce"
Sydney White,Comedy,"college, romance, sorority, student, snow white, young adult, modern fairy tale",en,United States of America,English
